image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
CFD-BM-232-213-N.jpg,faces,male,0,,1back,73,1
CFD-WM-012-001-N.jpg,faces,male,0,,1back,73,1
NA002572.jpg,scenes,natural,0,,1back,73,1
snail.jpg,objects,natural,1,,1back,73,1
snail.jpg,objects,natural,1,,1back,73,2
bowl01.jpg,objects,manmade,0,,1back,73,1
horseshoecrab.jpg,objects,natural,1,,1back,73,1
horseshoecrab.jpg,objects,natural,1,,1back,73,2
tenniscourt-2.jpg,scenes,manmade,1,,1back,73,1
tenniscourt-2.jpg,scenes,manmade,1,,1back,73,2
CFD-BM-200-046-N.jpg,faces,male,0,,1back,73,1
mechanicalpencil02.jpg,objects,manmade,0,,1back,73,1
616739082_d546057033.jpg,scenes,manmade,1,,1back,73,1
616739082_d546057033.jpg,scenes,manmade,1,,1back,73,2
LeMeridien-Bar.jpg,scenes,manmade,0,,1back,73,1
corn01.jpg,objects,natural,0,,1back,73,1
CFD-WF-233-112-N.jpg,faces,female,0,,1back,73,1
CFD-AM-205-153-N.jpg,faces,male,0,,1back,73,1
r_251092.jpg,scenes,natural,1,,1back,73,1
r_251092.jpg,scenes,natural,1,,1back,73,2
CFD-WF-005-010-N.jpg,faces,female,0,,1back,73,1
Coastal-caveinchalkwithrubble.jpg,scenes,natural,0,,1back,73,1
natu3.jpg,scenes,natural,0,,1back,73,1
toaster02.jpg,objects,manmade,0,,1back,73,1
kettle01.jpg,objects,manmade,0,,1back,73,1
CFD-BF-223-250-N.jpg,faces,female,1,,1back,73,1
CFD-BF-223-250-N.jpg,faces,female,1,,1back,73,2
CFD-LM-217-162-N.jpg,faces,male,0,,1back,73,1
breadslice.jpg,objects,manmade,1,,1back,73,1
breadslice.jpg,objects,manmade,1,,1back,73,2
CFD-BF-003-003-N.jpg,faces,female,1,,1back,73,1
CFD-BF-003-003-N.jpg,faces,female,1,,1back,73,2
Swimming_pool2.jpg,scenes,manmade,0,,1back,73,1
RedBarn_S2.jpg,scenes,manmade,1,,1back,73,1
RedBarn_S2.jpg,scenes,manmade,1,,1back,73,2
1684965730_e82d832010_b.jpg,scenes,manmade,0,,1back,73,1
11081stream.jpg,scenes,natural,1,,1back,73,1
11081stream.jpg,scenes,natural,1,,1back,73,2
home-office_1.jpg,scenes,manmade,1,,1back,73,1
home-office_1.jpg,scenes,manmade,1,,1back,73,2
land16.jpg,scenes,natural,0,,1back,73,1
cap01b.jpg,objects,manmade,0,,1back,73,1
CFD-BM-253-004-N.jpg,faces,male,1,,1back,73,1
CFD-BM-253-004-N.jpg,faces,male,1,,1back,73,2
apa_camden_dining_room_china.jpg,scenes,manmade,0,,1back,73,1
CFD-BF-254-201-N.jpg,faces,female,0,,1back,73,1
kiwi02.jpg,objects,natural,0,,1back,73,1
star.jpg,objects,natural,0,,1back,73,1
crab01.jpg,objects,natural,0,,1back,73,1
mar_antonius_eglise.jpg,scenes,manmade,1,,1back,73,1
mar_antonius_eglise.jpg,scenes,manmade,1,,1back,73,2
wheel01.jpg,objects,manmade,1,,1back,73,1
wheel01.jpg,objects,manmade,1,,1back,73,2
land145.jpg,scenes,natural,0,,1back,73,1
CFD-BM-015-015-N.jpg,faces,male,0,,1back,73,1
crique_02_03_ask.jpg,scenes,natural,1,,1back,73,1
crique_02_03_ask.jpg,scenes,natural,1,,1back,73,2
FreeFoto_coast_2_18.jpg,scenes,natural,1,,1back,73,1
FreeFoto_coast_2_18.jpg,scenes,natural,1,,1back,73,2
CFD-AM-202-079-N.jpg,faces,male,1,,1back,73,1
CFD-AM-202-079-N.jpg,faces,male,1,,1back,73,2
CFD-BF-207-004-N.jpg,faces,female,0,,1back,73,1
alligator.jpg,objects,natural,0,,1back,73,1
lightbulb02b.jpg,objects,manmade,1,,1back,73,1
lightbulb02b.jpg,objects,manmade,1,,1back,73,2
CFD-BF-036-027-N.jpg,faces,female,0,,1back,73,1
FreeFoto_castle_35_37.jpg,scenes,manmade,0,,1back,73,1
perfume01a.jpg,objects,manmade,0,,1back,73,1
CFD-WF-013-003-N.jpg,faces,female,0,,1back,73,1
513754597_1459db012a.jpg,scenes,manmade,0,,1back,73,1
CFD-BF-252-191-N.jpg,faces,female,0,,1back,73,1
CFD-BF-005-001-N.jpg,faces,female,0,,1back,73,1
tiered_parking_web.jpg,scenes,manmade,1,,1back,73,1
tiered_parking_web.jpg,scenes,manmade,1,,1back,73,2
CFD-AF-250-200-N.jpg,faces,female,0,,1back,73,1
badger.jpg,objects,natural,0,,1back,73,1
CFD-LM-220-329-N.jpg,faces,male,1,,1back,73,1
CFD-LM-220-329-N.jpg,faces,male,1,,1back,73,2
noisemaker.jpg,objects,manmade,0,,1back,73,1
CFD-AM-204-122-N.jpg,faces,male,0,,1back,73,1
lizard.jpg,objects,natural,0,,1back,73,1
FreeFoto_river_2_16.jpg,scenes,natural,0,,1back,73,1
CFD-BM-027-001-N.jpg,faces,male,0,,1back,73,1
CFD-AM-250-149-N.jpg,faces,male,0,,1back,73,1
CFD-BF-050-003-N.jpg,faces,female,1,,1back,73,1
CFD-BF-050-003-N.jpg,faces,female,1,,1back,73,2
land680.jpg,scenes,natural,0,,1back,73,1
saltshaker03b.jpg,objects,manmade,0,,1back,73,1
CFD-WF-238-023-N.jpg,faces,female,0,,1back,73,1
land18.jpg,scenes,natural,0,,1back,73,1
CFD-LF-213-079-N.jpg,faces,female,0,,1back,73,1
rice.jpg,objects,natural,1,,1back,73,1
rice.jpg,objects,natural,1,,1back,73,2
CFD-WM-208-068-N.jpg,faces,male,0,,1back,73,1
web_VolcanTungurahua.jpg,scenes,natural,0,,1back,73,1
CFD-AF-255-209-N.jpg,faces,female,0,,1back,73,1
08Trees.jpg,scenes,natural,1,,1back,73,1
08Trees.jpg,scenes,natural,1,,1back,73,2
greenonion.jpg,objects,natural,0,,1back,73,1
dining16.jpg,scenes,manmade,0,,1back,73,1
visor.jpg,objects,manmade,0,,1back,73,1
teapot.jpg,objects,manmade,1,,1back,73,1
teapot.jpg,objects,manmade,1,,1back,73,2
FreeFoto_beach_32_15.jpg,scenes,natural,0,,1back,73,1
CFD-WM-029-023-N.jpg,faces,male,1,,1back,73,1
CFD-WM-029-023-N.jpg,faces,male,1,,1back,73,2
